pea	pease
cephalopod	cephalopods
nectarine	nectarines
coaster	coasters
planner	planners
regulator	regulators
mutineer	mutineers
bather	bathers
partner	partners
fascist	fascists
descendant	descendants
shocker	shockers
wiper	wipers
quahog	quahogs
archeologist	archeologists
bandit	bandits
cripple	cripples
bobby	bobbies
coati	coatis
empress	empresses
synapsid	synapsids
millet	millets
canary	canaries
prizefighter	prizefighters
rheumatologist	rheumatologists
purist	purists
sitter	sitters
viper	vipers
democrat	democrats
choker	chokers
wrecker	wreckers
extremist	extremists
saddler	saddlers
chump	chumps
jogger	joggers
nettle	nettles
postmaster	postmasters
televangelist	televangelists
freeholder	freeholders
tuna	tunas
scientist	scientists
broodmare	broodmares
romantic	romantics
vizier	viziers
receiver	receivers
artist	artists
latecomer	latecomers
tare	tares
petunia	petunias
understudy	understudies
ruff	ruffs
recipient	recipients
partygoer	partygoers
pronghorn	pronghorns
prosecutor	prosecutors
musician	musicians
raja	rajas
father	fathers
ripper	rippers
raiser	raisers
cottonwood	cottonwoods
aster	asters
pledge	pledges
cavalier	cavaliers
dispatcher	dispatchers
sadist	sadists
toiler	toilers
character	characters
turner	turners
gymnast	gymnasts
co-ed	co-eds
bug	bugs
sister	sisters
dove	doves
merganser	mergansers
internationalist	internationalists
gendarme	gendarmes
ocelot	ocelots
embroiderer	embroiderers
virologist	virologists
panther	panthers
young	youngs
comma	commas
marlin	marlins
rambler	ramblers
publisher	publishers
yeoman	yeomen
critic	critics
arbor	arbors
springer	springers
spy	spies
counter	counters
varmint	varmints
arbovirus	arboviruses
chicken	chickens
bullfighter	bullfighters
alarmist	alarmists
hotelier	hoteliers
sundew	sundews
watcher	watchers
hustler	hustlers
spendthrift	spendthrifts
supremacist	supremacists
leveler	levelers
scoutmaster	scoutmasters
speechwriter	speechwriters
importer	importers
climatologist	climatologists
bugle	bugles
yew	yews
fakir	fakirs
flamingo	flamingos
protea	proteas
inpatient	inpatients
iris	irises
marsupial	marsupials
titanosaur	titanosaurs
arrival	arrivals
fig	figs
cricketer	cricketers
namesake	namesakes
sweeper	sweepers
parapsychologist	parapsychologists
seeder	seeders
client	clients
abbe	abbes
ibis	ibises
preservationist	preservationists
splicer	splicers
abbess	abbesses
lister	listers
fence	fences
heavy	heavies
briber	bribers
woodpecker	woodpeckers
butternut	butternuts
monopolist	monopolists
marshal	marshals
goose	geese
informer	informers
cashew	cashews
stiff	stiffs
acolyte	acolytes
profiteer	profiteers
immortal	immortals
skullcap	skullcaps
armadillo	armadillos
sawfly	sawflies
bongo	bongos
compositor	compositors
seducer	seducers
siren	sirens
ensign	ensigns
abalone	abalones
scavenger	scavengers
collaborator	collaborators
butt	butts
liturgist	liturgists
survivor	survivors
wolfhound	wolfhounds
pea	peas
propagandist	propagandists
ascender	ascenders
bowhead	bowheads
nester	nesters
porgy	porgies
shrike	shrikes
cardiologist	cardiologists
orientalist	orientalists
popularizer	popularizers
screener	screeners
olm	olms
polluter	polluters
hart	harts
spoonbill	spoonbills
commando	commandoes
megalomaniac	megalomaniacs
cleaner	cleaners
beaver	beavers
roach	roaches
iceman	icemen
refugee	refugees
congregant	congregants
chink	chinks
guest	guests
enemy	enemies
bugler	buglers
kneeler	kneelers
prude	prudes
mute	mutes
blackbird	blackbirds
sycophant	sycophants
sorter	sorters
life	lives
overlord	overlords
tapper	tappers
usurer	usurers
terrier	terriers
framer	framers
rush	rushes
barmaid	barmaids
rail	rails
proxy	proxies
gannet	gannets
oncologist	oncologists
refiner	refiners
lawyer	lawyers
cypress	cypresses
guerrilla	guerrillas
dandelion	dandelions
defender	defenders
octogenarian	octogenarians
rapper	rappers
policeman	policemen
affiliate	affiliates
willet	willets
drudge	drudges
basil	basils
roughrider	roughriders
sender	senders
dick	dicks
caribou	caribous
tippler	tipplers
climber	climbers
parsnip	parsnips
shoveler	shovelers
plagiarist	plagiarists
widower	widowers
snob	snobs
homeowner	homeowners
prostitute	prostitutes
nonmember	nonmembers
cicada	cicadas
octopus	octopi
elk	elks
patriarch	patriarchs
bat	bats
radiologist	radiologists
housemaster	housemasters
arbitrageur	arbitrageurs
burgess	burgesses
greaser	greasers
frogmouth	frogmouths
playmaker	playmakers
loyalist	loyalists
mustard	mustards
fink	finks
petter	petters
gooseberry	gooseberries
herder	herders
woodsman	woodsmen
basilisk	basilisks
calypso	calypsos
sealer	sealers
spokeswoman	spokeswomen
freshman	freshmen
yucca	yuccas
god	gods
private	privates
spender	spenders
musicologist	musicologists
secessionist	secessionists
messiah	messiahs
tackle	tackles
nigger	niggers
bumblebee	bumblebees
hominid	hominids
adjuster	adjusters
rose	roses
echinoderm	echinoderms
grub	grubs
female	females
pallbearer	pallbearers
stitcher	stitchers
beekeeper	beekeepers
weed	weeds
revisionist	revisionists
belle	belles
warner	warners
walk-on	walk-ons
raspberry	raspberries
niece	nieces
oiler	oilers
webmaster	webmasters
half-breed	half-breeds
juvenile	juveniles
impressionist	impressionists
loader	loaders
snag	snags
insurgent	insurgents
bellwether	bellwethers
swan	swans
republican	republicans
waitress	waitresses
fluke	flukes
sierra	sierras
pagan	pagans
kiwi	kiwis
goral	gorals
streetwalker	streetwalkers
triton	tritons
upholder	upholders
sylph	sylphs
jewel	jewels
gametophyte	gametophytes
retrovirus	retroviruses
macadamia	macadamias
cowbird	cowbirds
groom	grooms
civilian	civilians
genius	genii
part-timer	part-timers
suffragette	suffragettes
chinchilla	chinchillas
zany	zanies
erotic	erotics
creeper	creepers
freak	freaks
whistler	whistlers
geologist	geologists
voyager	voyagers
patient	patients
torero	toreros
skylark	skylarks
teaser	teasers
viola	violas
embryologist	embryologists
bigamist	bigamists
schoolmate	schoolmates
groomsman	groomsmen
idler	idlers
polymath	polymaths
genet	genets
server	servers
dimwit	dimwits
naif	naifs
mater	maters
booster	boosters
foundress	foundresses
nightshade	nightshades
viscount	viscounts
subscriber	subscribers
spinster	spinsters
fisher	fishers
strawberry	strawberries
scorpion	scorpions
amputee	amputees
nonstarter	nonstarters
grosbeak	grosbeaks
butch	butches
blade	blades
guava	guavas
closer	closers
bilingual	bilinguals
invalid	invalids
trawler	trawlers
sheller	shellers
oblate	oblates
freedman	freedmen
eland	elands
pollard	pollards
kingmaker	kingmakers
cholla	chollas
dory	dories
lunatic	lunatics
hacker	hackers
searcher	searchers
townsman	townsmen
mourner	mourners
solitaire	solitaires
rapporteur	rapporteurs
associate	associates
saki	sakis
pedestrian	pedestrians
bookbinder	bookbinders
incompetent	incompetents
enthusiast	enthusiasts
newsreader	newsreaders
herpetologist	herpetologists
teal	teals
fledgling	fledglings
embodiment	embodiments
typist	typists
subordinate	subordinates
swami	swamis
snake	snakes
cockle	cockles
kleptomaniac	kleptomaniacs
badger	badgers
technophobe	technophobes
bilberry	bilberries
tail	tails
executor	executors
hitter	hitters
lector	lectors
conjurer	conjurers
cacique	caciques
spat	spats
territorial	territorials
gerbil	gerbils
quadruped	quadrupeds
camellia	camellias
quintuplet	quintuplets
baby	babys
motmot	motmots
shyster	shysters
bard	bards
bacillus	bacilli
fancier	fanciers
almond	almonds
handler	handlers
hookworm	hookworms
dissenter	dissenters
babysitter	babysitters
odalisque	odalisques
decapod	decapods
wretch	wretches
repository	repositories
passer	passers
portraitist	portraitists
ling	lings
chemist	chemists
diplomat	diplomats
finisher	finishers
crab	crabs
assignee	assignees
kin	kins
necromancer	necromancers
elitist	elitists
wallah	wallahs
bullhead	bullheads
fiancee	fiancees
pollster	pollsters
exhibitionist	exhibitionists
arthropod	arthropods
contestant	contestants
racehorse	racehorses
tuner	tuners
lamb	lambs
lass	lasses
veronica	veronicas
greyhound	greyhounds
predator	predators
jackrabbit	jackrabbits
bee	bees
inferior	inferiors
mayor	mayors
warbler	warblers
performer	performers
rorqual	rorquals
capon	capons
anachronism	anachronisms
second	seconds
aggressor	aggressors
bean	beans
laird	lairds
thatcher	thatchers
stoner	stoners
balsa	balsas
flea	fleas
compatriot	compatriots
homebuilder	homebuilders
bird	birds
lactobacillus	lactobacilli
concessionaire	concessionaires
cooper	coopers
calligrapher	calligraphers
